chr	start	end	golga_id	strand	genome	aln_chr	aln_start	aln_end	contig	contig_start	contig_end	contig_len	aln_ID	overlap	%_covered	frac_of_contig_in_aln
chr15	82336721	82337720	I5+E6_GOLGA2P10	-	chm1	chr15	77040207	82499029	LJII01000105.1	0	5463946	5463947	99.8	999	100.0	0.9999998169821194
chr15	82336721	82337720	I5+E6_GOLGA2P10	-	gorilla	chr15	82318242	82389773	001554F_90947_qpd	0	74999	89686	96.1849	999	100.0	0.8362397698637468
chr15	82336721	82337720	I5+E6_GOLGA2P10	-	macaque	chr15	82291175	82344126	000139F_pilon	3575000	3639999	7421682	89.0504	999	100.0	0.008757987744557097
chr15	82336721	82337720	I5+E6_GOLGA2P10	-	orang	chr15	82310391	82477994	000212F_1_4561088_quiver_pilon	4405000	4566839	4566840	94.0509	999	100.0	0.03543785199393892
chr15	82338887	82349437	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	chm1	chr15	77040207	82499029	LJII01000105.1	0	5463946	5463947	99.8	10550	100.0	0.9999998169821194
chr15	82338887	82349437	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	gorilla	chr15	82318242	82389773	001554F_90947_qpd	0	74999	89686	96.1849	10550	100.0	0.8362397698637468
chr15	82338887	82349437	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	orang	chr15	82310391	82477994	000212F_1_4561088_quiver_pilon	4405000	4566839	4566840	94.0509	10550	100.0	0.03543785199393892
chr15	82355041	82355374	E1_GOLGA2P10_missed	+	chm1	chr15	77040207	82499029	LJII01000105.1	0	5463946	5463947	99.8	333	100.0	0.9999998169821194
chr15	82355041	82355374	E1_GOLGA2P10_missed	+	gorilla	chr15	82318242	82389773	001554F_90947_qpd	0	74999	89686	96.1849	333	100.0	0.8362397698637468
chr15	82355041	82355374	E1_GOLGA2P10_missed	+	macaque	chr15	82353003	82386801	000216F_pilon	745000	779999	4485800	87.7411	333	100.0	0.007802175754603415
chr15	82355041	82355374	E1_GOLGA2P10_missed	+	orang	chr15	82310391	82477994	000212F_1_4561088_quiver_pilon	4405000	4566839	4566840	94.0509	333	100.0	0.03543785199393892
chr15	82430018	82440096	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	chm1	chr15	77040207	82499029	LJII01000105.1	0	5463946	5463947	99.8	10078	100.0	0.9999998169821194
chr15	82430018	82440096	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	gorilla	chr15	82408896	82501089	001576F_91908_qpd	0	91985	91986	97.516	10078	100.0	0.9999891287804666
chr15	82430018	82440096	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	orang	chr15	82310391	82477994	000212F_1_4561088_quiver_pilon	4405000	4566839	4566840	94.0509	10078	100.0	0.03543785199393892
chr15	82441386	82443857	I5+E6+I6_GOLGA2P10	+	chm1	chr15	77040207	82499029	LJII01000105.1	0	5463946	5463947	99.8	2471	100.0	0.9999998169821194
chr15	82441386	82443857	I5+E6+I6_GOLGA2P10	+	gorilla	chr15	82408896	82501089	001576F_91908_qpd	0	91985	91986	97.516	2471	100.0	0.9999891287804666
chr15	82441386	82443857	I5+E6+I6_GOLGA2P10	+	orang	chr15	82310391	82477994	000212F_1_4561088_quiver_pilon	4405000	4566839	4566840	94.0509	2471	100.0	0.03543785199393892
chr15	82471477	82513982	E1-E7_GOLGA2P10	-	chm1	chr15	82455875	84216580	LJII01000172.1	0	1755056	1755057	99.8359	42505	100.0	0.9999994302179359
chr15	82471477	82513982	E1-E7_GOLGA2P10	-	clint	chr15	82469123	82524207	001700F_1_55643_quiver_pilon	0	55726	55727	98.0235	42505	100.0	0.9999820553771063
chr15	82519590	82530209	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	chm1	chr15	82455875	84216580	LJII01000172.1	0	1755056	1755057	99.8359	10619	100.0	0.9999994302179359
chr15	82519590	82530209	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	gorilla	chr15	82493674	83494757	000358F_1265388_qpd	275000	1267050	1267051	97.7674	10619	100.0	0.7829598019337817
chr15	82519590	82530209	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	macaque	chr15	82516206	82739044	000150F_pilon	2105000	2319999	6932209	92.2934	10619	100.0	0.031014500572616895
chr15	82531854	82533829	I5+E6-E7_GOLGA2P10	+	chm1	chr15	82455875	84216580	LJII01000172.1	0	1755056	1755057	99.8359	1975	100.0	0.9999994302179359
chr15	82531854	82533829	I5+E6-E7_GOLGA2P10	+	clint	chr15	82526684	82545123	003409F_1_18345_quiver_pilon	0	18363	18364	97.9029	1975	100.0	0.9999455456327597
chr15	82531854	82533829	I5+E6-E7_GOLGA2P10	+	clint	chr15	82526684	84184688	000316F_1_1730291_quiver_pilon	0	1644999	1731134	98.2586	1975	100.0	0.9502435975493521
chr15	82531854	82533829	I5+E6-E7_GOLGA2P10	+	gorilla	chr15	82493674	83494757	000358F_1265388_qpd	275000	1267050	1267051	97.7674	1975	100.0	0.7829598019337817
chr15	82531854	82533829	I5+E6-E7_GOLGA2P10	+	macaque	chr15	82516206	82739044	000150F_pilon	2105000	2319999	6932209	92.2934	1975	100.0	0.031014500572616895
chr15	84165408	84167397	E10_GOLGA6	+	chm1	chr15	82455875	84216580	LJII01000172.1	0	1755056	1755057	99.8359	1989	100.0	0.9999994302179359
chr15	84165408	84167397	E10_GOLGA6	+	clint	chr15	82526684	84184688	000316F_1_1730291_quiver_pilon	0	1644999	1731134	98.2586	1989	100.0	0.9502435975493521
chr15	84165408	84167397	E10_GOLGA6	+	gorilla	chr15	83774404	84178497	000582F_448248_qpd	0	404999	448783	97.5753	1989	100.0	0.9024383722199816
chr15	84165408	84167397	E10_GOLGA6	+	orang	chr15	83228044	84184963	000223F_1_4211661_quiver_pilon	3185000	4124999	4217749	95.6044	1989	100.0	0.22286745844762218
chr15	84168698	84171176	I5+I6_GOLGA2P10	+	chm1	chr15	84166811	84188862	LJII01002730.1	0	22197	22198	99.1487	2478	100.0	0.9999549508964771
chr15	84168698	84171176	I5+I6_GOLGA2P10	+	chm1	chr15	82455875	84216580	LJII01000172.1	0	1755056	1755057	99.8359	2478	100.0	0.9999994302179359
chr15	84168698	84171176	I5+I6_GOLGA2P10	+	clint	chr15	82526684	84184688	000316F_1_1730291_quiver_pilon	0	1644999	1731134	98.2586	2478	100.0	0.9502435975493521
chr15	84168698	84171176	I5+I6_GOLGA2P10	+	gorilla	chr15	83774404	84178497	000582F_448248_qpd	0	404999	448783	97.5753	2478	100.0	0.9024383722199816
chr15	84168698	84171176	I5+I6_GOLGA2P10	+	orang	chr15	83228044	84184963	000223F_1_4211661_quiver_pilon	3185000	4124999	4217749	95.6044	2478	100.0	0.22286745844762218
chr15	84344423	84344756	  E1_GOLGA2P10_missed	-	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	333	100.0	0.9999906867584332
chr15	84350344	84360384	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	10040	100.0	0.9999906867584332
chr15	84361690	84362256	I5_GOLGA2P10	+	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	566	100.0	0.9999906867584332
chr15	84361690	84362256	I5_GOLGA2P10	+	clint	chr15	84359797	84418261	000817F_1_136515_quiver_pilon	0	49999	137264	93.9881	566	100.0	0.36425428371605084
chr15	84389732	84393690	E2-E9_GOLGA6	+	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	3958	100.0	0.9999906867584332
chr15	84389732	84393690	E2-E9_GOLGA6	+	clint	chr15	84359797	84418261	000817F_1_136515_quiver_pilon	0	49999	137264	93.9881	3958	100.0	0.36425428371605084
chr15	84389732	84393690	E2-E9_GOLGA6	+	orang	chr15	84376681	84396167	000008F_1_28880654_quiver_pilon	27560000	27574999	28912707	88.2541	3958	100.0	0.0005187684432315521
chr15	84394465	84400347	E1-E7_GOLGA2P10	+	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	5882	100.0	0.9999906867584332
chr15	84394465	84400347	E1-E7_GOLGA2P10	+	clint	chr15	84359797	84418261	000817F_1_136515_quiver_pilon	0	49999	137264	93.9881	5882	100.0	0.36425428371605084
chr15	84423632	84426108	I5+E6+I6_GOLGA2P10	-	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	2476	100.0	0.9999906867584332
chr15	84423632	84426108	I5+E6+I6_GOLGA2P10	-	chm1	chr15	84408181	84454923	LJII01002188.1	0	46390	46391	97.4156	2476	100.0	0.9999784440947598
chr15	84427398	84437807	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	chm1	chr15	84335891	84442686	LJII01000755.1	0	107373	107374	99.6163	10409	100.0	0.9999906867584332
chr15	84427398	84437807	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	chm1	chr15	84408181	84454923	LJII01002188.1	0	46390	46391	97.4156	10409	100.0	0.9999784440947598
chr15	84502382	84504866	I5+E6+I6_GOLGA2P10	-	chm1	chr15	84467705	84520388	LJII01001558.1	10000	62640	62641	99.159	2484	100.0	0.8403441835219744
chr15	84502382	84504866	I5+E6+I6_GOLGA2P10	-	chm1	chr15	84492709	85243452	LJII01000228.1	0	750445	750446	99.8113	2484	100.0	0.9999986674590843
chr15	84502382	84504866	I5+E6+I6_GOLGA2P10	-	clint	chr15	84497324	85198630	000429F_1_729216_quiver_pilon	30000	730304	730305	98.3799	2484	100.0	0.9589199033280615
chr15	84506168	84516847	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	chm1	chr15	84467705	84520388	LJII01001558.1	10000	62640	62641	99.159	10679	100.0	0.8403441835219744
chr15	84506168	84516847	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	chm1	chr15	84492709	85243452	LJII01000228.1	0	750445	750446	99.8113	10679	100.0	0.9999986674590843
chr15	84506168	84516847	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	clint	chr15	84497324	85198630	000429F_1_729216_quiver_pilon	30000	730304	730305	98.3799	10679	100.0	0.9589199033280615
chr15	84506168	84516847	E10-E1_GOLGA6,I5_GOLGA2P10	-,-	macaque	chr15	84506334	84523876	000374F_pilon	60000	79999	1500559	88.2294	10513	98.44554733589287	0.013327699877179104
chr15	85203444	85234812	E1missed-E1-E7_GOLGA2P10	-	chm1	chr15	84492709	85243452	LJII01000228.1	0	750445	750446	99.8113	31368	100.0	0.9999986674590843
chr15	85240410	85250934	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	chm1	chr15	85222584	90647732	LJII01000106.1	0	5427957	5427958	99.8247	10524	100.0	0.9999998157686556
chr15	85240410	85250934	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	gorilla	chr15	85236312	85265124	000210F_2861246_qpd	20000	49999	2867996	95.3069	10524	100.0	0.01045991695943788
chr15	85240410	85250934	E1-E10_GOLGA6,I5_GOLGA2P10	+,+	gorilla	chr15	85228164	85373686	001105F_143825_qpd	5000	142955	142956	97.3777	10524	100.0	0.9650172080920003
chr15	85252262	85253261	I5+E6_GOLGA2P10	+	chm1	chr15	85222584	90647732	LJII01000106.1	0	5427957	5427958	99.8247	999	100.0	0.9999998157686556
chr15	85252262	85253261	I5+E6_GOLGA2P10	+	clint	chr15	85247143	87843238	000109F_1_7982668_quiver_pilon	0	2589999	7991820	97.8808	999	100.0	0.32408124807615785
chr15	85252262	85253261	I5+E6_GOLGA2P10	+	gorilla	chr15	85236312	85265124	000210F_2861246_qpd	20000	49999	2867996	95.3069	999	100.0	0.01045991695943788
chr15	85252262	85253261	I5+E6_GOLGA2P10	+	gorilla	chr15	85228164	85373686	001105F_143825_qpd	5000	142955	142956	97.3777	999	100.0	0.9650172080920003
